date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-07-03,41130000,2059726,21489,005.01 %,841526,17368,002.05 %
2021-07-04,41130000,2074986,15260,005.04 %,850629,9103,002.07 %
2021-07-05,41130000,2100538,25552,005.11 %,898311,47682,002.18 %
2021-07-06,41130000,2136561,36023,005.19 %,955842,57531,002.32 %
2021-07-07,41130000,2178590,42029,005.30 %,1018493,62651,002.48 %
2021-07-08,41130000,2223406,44816,005.41 %,1082837,64344,002.63 %
2021-07-09,41130000,2277226,53820,005.54 %,1143677,60840,002.78 %
2021-07-10,41130000,2298300,21074,005.59 %,1164911,21234,002.83 %
2021-07-11,41130000,2311690,13390,005.62 %,1177877,12966,002.86 %
2021-07-12,41130000,2346881,35191,005.71 %,1212422,34545,002.95 %
2021-07-13,41130000,2415052,68171,005.87 %,1258938,46516,003.06 %
2021-07-14,41130000,2476632,61580,006.02 %,1306117,47179,003.18 %
2021-07-15,41130000,2539634,63002,006.17 %,1360491,54374,003.31 %
2021-07-16,41130000,2604860,65226,006.33 %,1406415,45924,003.42 %
2021-07-17,41130000,2638939,34079,006.42 %,1422771,16356,003.46 %
2021-07-18,41130000,2667521,28582,006.49 %,1431362,8591,003.48 %
2021-07-19,41130000,2717788,50267,006.61 %,1462110,30748,003.55 %
2021-07-20,41130000,2778375,60587,006.76 %,1501526,39416,003.65 %
2021-07-21,41130000,2843897,65522,006.91 %,1556094,54568,003.78 %
2021-07-22,41130000,2920066,76169,007.10 %,1619131,63037,003.94 %
2021-07-23,41130000,3010138,90072,007.32 %,1712791,93660,004.16 %
2021-07-24,41130000,3060559,50421,007.44 %,1702884,-9907,004.14 %
2021-07-25,41130000,3099709,39150,007.54 %,1712791,9907,004.16 %
2021-07-26,41130000,3177761,78052,007.73 %,1760835,48044,004.28 %
2021-07-27,41130000,3264713,86952,007.94 %,1817211,56376,004.42 %
2021-07-28,41130000,3350500,85787,008.15 %,1874958,57747,004.56 %
