date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2020-06-23,417858000,38074,833,1035,23,16956,314,20083
2020-06-24,417858000,39014,940,1051,16,17409,453,20554
2020-06-25,417858000,40008,994,1067,16,17758,349,21183
2020-06-26,417858000,41117,1109,1086,19,18299,541,21732
2020-06-27,417858000,42065,948,1110,24,18701,402,22254
2020-06-28,417858000,42982,917,1129,19,18934,233,22919
2020-06-29,417858000,43628,646,1147,18,19027,93,23454
2020-06-30,417858000,44334,706,1159,12,19115,88,24060
2020-07-01,417621000,44998,664,1173,14,19548,433,24277
2020-07-02,417621000,45887,889,1185,12,20053,505,24649
2020-07-03,417621000,46763,876,1212,27,20558,505,24993
2020-07-04,417621000,47677,914,1227,15,21155,597,25295
2020-07-05,417621000,48500,823,1249,22,21376,221,25875
2020-07-06,417621000,49043,543,1262,13,21703,327,26078
2020-07-07,417621000,49607,564,1283,21,22193,490,26131
2020-07-08,417621000,50414,807,1306,23,23119,926,25989
2020-07-09,417621000,51224,810,1327,21,23784,665,26113
2020-07-10,417621000,52043,819,1345,18,24800,1016,25898
2020-07-11,417621000,52843,800,1372,27,25661,861,25810
2020-07-12,417621000,53521,678,1383,11,26118,457,26020
2020-07-13,417621000,54133,612,1398,15,26503,385,26232
2020-07-14,417621000,54771,638,1412,13,27154,651,26205
2020-07-15,417621000,55607,836,1427,15,28131,977,26049
2020-07-16,417621000,56455,848,1445,18,28931,800,26079
2020-07-17,417621000,57264,809,1456,11,29769,838,26039
2020-07-18,417621000,58111,847,1477,21,30525,756,26109
2020-07-19,417621000,58842,731,1485,8,30879,354,26478
2020-07-20,417621000,59493,651,1498,13,31439,560,26556
2020-07-21,417621000,60166,673,1518,20,32199,760,26449
2020-07-22,417621000,60995,829,1534,16,33172,973,26289
2020-07-23,417621000,61851,856,1551,17,34000,828,26300
2020-07-24,417621000,62823,972,1571,20,34886,886,26366
2020-07-25,417621000,63929,1106,1590,19,35497,611,26842
2020-07-26,417621000,64849,920,1605,15,35807,310,27437
2020-07-27,417621000,65656,807,1616,11,36122,315,27918
2020-07-28,417621000,66575,919,1629,13,36744,622,28202
2020-07-29,417621000,67597,1022,1650,21,37394,650,28553
2020-07-30,417621000,68794,1197,1673,23,38154,760,28967
2020-07-31,417621000,69884,1090,1693,20,38752,598,29439
2020-08-01,417439000,71056,1172,1709,16,39308,556,30039
2020-08-02,417439000,72168,1112,1725,16,39543,235,30900
2020-08-03,417439000,73158,990,1738,13,39876,333,31544
2020-08-04,417439000,74219,1061,1764,26,40613,737,31842
2020-08-05,417439000,75490,1271,1788,24,41527,914,32175
2020-08-06,417439000,76808,1318,1819,31,42524,997,32465
2020-08-07,417439000,78261,1453,1852,33,43055,531,33354
2020-08-08,417439000,79750,1489,1879,27,43655,600,34216
2020-08-09,417439000,80949,1199,1897,18,43972,317,35080
2020-08-10,417439000,81957,1008,1922,25,44359,387,35676
2020-08-11,417439000,83115,1158,1951,29,44934,575,36230
2020-08-12,417439000,84548,1433,1970,19,45686,752,36892
2020-08-13,417439000,86140,1592,1992,22,46216,530,37932
2020-08-14,417439000,87872,1732,2011,19,46797,581,39064
2020-08-15,417439000,89719,1847,2044,33,47430,633,40245
2020-08-16,417439000,91356,1637,2070,26,47822,392,41464
2020-08-17,417439000,92820,1464,2089,19,48164,342,42567
2020-08-18,417439000,94436,1616,2116,27,48925,761,43395
2020-08-19,417439000,96403,1967,2144,28,49737,812,44522
2020-08-20,417439000,98537,2134,2184,40,50441,704,45912
2020-08-21,417439000,100643,2106,2207,23,51078,637,47358
2020-08-22,417439000,102971,2328,2244,37,51735,657,48992
2020-08-23,417439000,104958,1987,2271,27,52235,500,50452
2020-08-24,417439000,106757,1799,2293,22,52524,289,51940
2020-08-25,417439000,108415,1658,2318,25,52870,346,53227
2020-08-26,417439000,110085,1670,2354,36,53454,584,54277
2020-08-27,417439000,112059,1974,2403,49,54217,763,55439
2020-08-28,417439000,114497,2438,2451,48,55083,866,56963
2020-08-29,417439000,116978,2481,2492,41,56138,1055,58348
2020-08-30,417439000,119074,2096,2527,35,56734,596,59813
2020-08-31,417439000,121215,2141,2557,30,57114,380,61544
2020-09-01,417240000,123303,2088,2605,48,57802,688,62896
2020-09-02,417240000,125798,2495,2656,51,58817,1015,64325
2020-09-03,417240000,128228,2430,2710,54,59676,859,65842
2020-09-04,417240000,130951,2723,2761,51,60613,937,67577
2020-09-05,417240000,133787,2836,2811,50,61649,1036,69327
2020-09-06,417240000,135894,2107,2846,35,62227,578,70821
2020-09-07,417240000,138068,2174,2877,31,62606,379,72585
2020-09-08,417240000,140479,2411,2934,57,63546,940,73999
2020-09-09,417240000,143030,2551,2979,45,64703,1157,75348
2020-09-10,417240000,145612,2582,3023,44,65877,1174,76712
2020-09-11,417240000,148756,3144,3076,53,67005,1128,78675
2020-09-12,417240000,151859,3103,3148,72,68346,1341,80365
2020-09-13,417240000,154335,2476,3178,30,68893,547,82264
2020-09-14,417240000,156797,2462,3211,33,69543,650,84043
2020-09-15,417240000,159702,2905,3264,53,70810,1267,85628
2020-09-16,417240000,162660,2958,3340,76,72324,1514,86996
2020-09-17,417240000,166244,3584,3400,60,73913,1589,88931
2020-09-18,417240000,169472,3228,3468,68,75486,1573,90518
2020-09-19,417240000,172712,3240,3516,48,76754,1268,92442
2020-09-20,417240000,175678,2966,3557,41,77512,758,94609
2020-09-21,417240000,178353,2675,3583,26,78184,672,96586
2020-09-22,417240000,181237,2884,3642,59,79901,1717,97694
2020-09-23,417240000,184734,3497,3705,63,81670,1769,99359
2020-09-24,417240000,188106,3372,3757,52,83458,1788,100891
2020-09-25,417240000,191671,3565,3827,70,85133,1675,102711
2020-09-26,417240000,195504,3833,3903,76,86873,1740,104728
2020-09-27,417240000,198634,3130,3959,56,87882,1009,106793
2020-09-28,417240000,201305,2671,3996,37,88453,571,108856
2020-09-29,417240000,204932,3627,4065,69,90250,1797,110617
2020-09-30,417240000,208959,4027,4129,64,92360,2110,112470
2020-10-01,417033000,213028,4069,4193,64,94443,2083,114392
2020-10-02,417033000,217661,4633,4261,68,96591,2148,116809
2020-10-03,417033000,222322,4661,4353,92,98737,2146,119232
2020-10-04,417033000,226462,4140,4397,44,100107,1370,121958
2020-10-05,417033000,230236,3774,4430,33,101252,1145,124554
2020-10-06,417033000,234584,4348,4520,90,103401,2149,126663
2020-10-07,417033000,239337,4753,4597,77,105970,2569,128770
2020-10-08,417033000,244734,5397,4690,93,108233,2263,131811
2020-10-09,417033000,250538,5804,4779,89,110650,2417,135109
2020-10-10,417033000,256266,5728,4887,108,112570,1920,138809
2020-10-11,417033000,261034,4768,4972,85,113507,937,142555
2020-10-12,417033000,265454,4420,5015,43,114410,903,146029
2020-10-13,417033000,270587,5133,5122,107,116562,2152,148949
2020-10-14,417033000,276177,5590,5229,107,118699,2137,152249
2020-10-15,417033000,281239,5062,5300,71,119605,906,156334
2020-10-16,417033000,287231,5992,5408,108,121919,2314,159904
2020-10-17,417033000,293641,6410,5517,109,124113,2194,164011
2020-10-18,417033000,298872,5231,5607,90,125377,1264,167888
2020-10-19,417033000,303638,4766,5673,66,126489,1112,171476
2020-10-20,417033000,309107,5469,5786,113,129533,3044,173788
2020-10-21,417033000,315826,6719,5927,141,132219,2686,177680
2020-10-22,417033000,322879,7053,6043,116,134898,2679,181938
2020-10-23,417033000,330396,7517,6164,121,137578,2680,186654
2020-10-24,417033000,337410,7014,6289,125,139755,2177,191366
2020-10-25,417033000,343498,6088,6391,102,141508,1753,195599
2020-10-26,417033000,348924,5426,6464,73,142537,1029,199923
2020-10-27,417033000,355601,6677,6590,126,145336,2799,203675
2020-10-28,417033000,363075,7474,6755,165,148642,3306,207678
2020-10-29,417033000,370417,7342,6868,113,151632,2990,211917
2020-10-30,417033000,378729,8312,7037,169,154917,3285,216775
2020-10-31,417033000,387481,8752,7196,159,158928,4011,221357
2020-11-01,416708000,395440,7959,7306,110,161441,2513,226693
2020-11-02,416708000,402194,6754,7375,69,163768,2327,231051
2020-11-03,416708000,411093,8899,7532,157,168868,5100,234693
2020-11-04,416708000,420617,9524,7731,199,176404,7536,236482
2020-11-05,416708000,430467,9850,7924,193,184782,8378,237761
2020-11-06,416708000,440188,9721,8125,201,195544,10762,236519
2020-11-07,416708000,450934,10746,8312,187,204229,8685,238393
2020-11-08,416708000,460331,9397,8450,138,206866,2637,245015
2020-11-09,416708000,469018,8687,8565,115,209143,2277,251310
2020-11-10,416708000,479197,10179,8756,191,214657,5514,255784
2020-11-11,416708000,489808,10611,8947,191,221459,6802,259402
2020-11-12,416708000,500865,11057,9145,198,227694,6235,264026
2020-11-13,416708000,512652,11787,9317,172,233849,6155,269486
2020-11-14,416708000,525176,12524,9508,191,238811,4962,276857
2020-11-15,416708000,535857,10681,9603,95,241444,2633,284810
2020-11-16,416708000,545689,9832,9697,94,244197,2753,291795
2020-11-17,416708000,557657,11968,9856,159,250983,6786,296818
2020-11-18,416708000,570153,12496,10112,256,259079,8096,300962
2020-11-19,416708000,583510,13357,10369,257,266479,7400,306662
2020-11-20,416708000,598085,14575,10598,229,274324,7845,313163
2020-11-21,416708000,612665,14580,10813,215,282313,7989,319539
2020-11-22,416708000,624744,12079,10951,138,286917,4604,326876
2020-11-23,416708000,635689,10945,11075,124,291060,4143,333564
2020-11-24,416708000,647976,12287,11263,188,299358,8298,337355
2020-11-25,416708000,661858,13882,11492,229,307778,8420,342588
2020-11-26,416708000,677189,15331,11717,225,317395,9617,348077
2020-11-27,416708000,693407,16218,11909,192,326238,8843,355260
2020-11-28,416708000,709701,16294,12093,184,335135,8897,362473
2020-11-29,416708000,722679,12978,12213,120,339378,4243,371088
2020-11-30,416708000,732625,9946,12327,114,345149,5771,375149
2020-12-01,416299000,745123,12498,12548,221,355172,10023,377403
2020-12-02,416299000,758264,13141,12717,169,369054,13882,376493
2020-12-03,416299000,772760,14496,12960,243,384426,15372,375374
2020-12-04,416299000,787891,15131,13195,235,397809,13383,376887
2020-12-05,416299000,801716,13825,13421,226,412533,14724,375762
2020-12-06,416299000,813306,11590,13588,167,418581,6048,381137
2020-12-07,416299000,821947,8641,13733,145,423704,5123,384510
2020-12-08,416299000,832758,10811,13928,195,436564,12860,382266
2020-12-09,416299000,845343,12585,14204,276,451118,14554,380021
2020-12-10,416299000,858714,13371,14470,266,465021,13903,379223
