date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-04-23,1141000,16251,497,001.42 %,,,
2021-04-24,1141000,16486,235,001.44 %,,,
2021-04-25,1141000,16666,180,001.46 %,,,
2021-04-26,1141000,16856,190,001.48 %,,,
2021-04-27,1141000,17287,431,001.52 %,,,
2021-04-28,1141000,19000,1713,001.67 %,,,
2021-04-29,1141000,20495,1495,001.80 %,,,
2021-04-30,1141000,21653,1158,001.90 %,,,
2021-05-01,1141000,21793,140,001.91 %,,,
2021-05-02,1141000,21793,,001.91 %,,,
2021-05-03,1141000,21793,,001.91 %,,,
2021-05-04,1141000,21913,120,001.92 %,,,
2021-05-05,1141000,22464,551,001.97 %,,,
2021-05-06,1141000,23503,1039,002.06 %,,,
2021-05-07,1141000,24759,1256,002.17 %,,,
2021-05-08,1141000,24809,50,002.17 %,,,
2021-05-09,1141000,24865,56,002.18 %,,,
2021-05-10,1141000,24905,40,002.18 %,,,
2021-05-11,1141000,25419,514,002.23 %,,,
2021-05-12,1141000,25988,569,002.28 %,107,,000.01 %
2021-05-13,1141000,26584,596,002.33 %,455,348,000.04 %
2021-05-14,1141000,27266,682,002.39 %,647,192,000.06 %
2021-05-15,1141000,27316,50,002.39 %,768,121,000.07 %
2021-05-16,1141000,27316,,002.39 %,846,78,000.07 %
2021-05-17,1141000,27651,335,002.42 %,939,93,000.08 %
2021-05-18,1141000,27932,281,002.45 %,1121,182,000.10 %
2021-05-19,1141000,28180,248,002.47 %,1358,237,000.12 %
2021-05-20,1141000,28414,234,002.49 %,1491,133,000.13 %
2021-05-21,1141000,28545,131,002.50 %,1841,350,000.16 %
2021-05-22,1141000,28556,11,002.50 %,1871,30,000.16 %
2021-05-23,1141000,28566,10,002.50 %,1881,10,000.16 %
2021-05-24,1141000,28662,96,002.51 %,2133,252,000.19 %
2021-05-25,1141000,28782,120,002.52 %,2368,235,000.21 %
2021-05-26,1141000,28827,45,002.53 %,2516,148,000.22 %
2021-05-27,1141000,28955,128,002.54 %,2569,53,000.23 %
2021-05-28,1141000,29057,102,002.55 %,2593,24,000.23 %
2021-05-29,1141000,29171,114,002.56 %,2606,13,000.23 %
2021-05-30,1141000,29171,,002.56 %,2606,,000.23 %
2021-05-31,1141000,29324,153,002.57 %,2621,15,000.23 %
2021-06-01,1141000,29767,443,002.61 %,2647,26,000.23 %
2021-06-02,1141000,30606,839,002.68 %,2680,33,000.23 %
2021-06-03,1141000,31810,1204,002.79 %,2719,39,000.24 %
2021-06-04,1141000,33157,1347,002.91 %,2751,32,000.24 %
2021-06-05,1141000,33796,639,002.96 %,2759,8,000.24 %
2021-06-06,1141000,34306,510,003.01 %,2765,6,000.24 %
2021-06-07,1141000,35482,1176,003.11 %,2818,53,000.25 %
2021-06-08,1141000,36856,1374,003.23 %,3009,191,000.26 %
2021-06-09,1141000,37584,728,003.29 %,3649,640,000.32 %
2021-06-10,1141000,37972,388,003.33 %,4331,682,000.38 %
2021-06-11,1141000,38399,427,003.37 %,5349,1018,000.47 %
2021-06-12,1141000,38684,285,003.39 %,5449,100,000.48 %
2021-06-13,1141000,38901,217,003.41 %,5549,100,000.49 %
2021-06-14,1141000,39063,162,003.42 %,6190,641,000.54 %
2021-06-15,1141000,39457,394,003.46 %,7359,1169,000.65 %
2021-06-16,1141000,41109,1652,003.60 %,8149,790,000.71 %
